"SKU";"stock"
"5715239011325";"3"
"5715239011370";"20"
"5715239011448";"20"
"5715239011509";"20"
"5715239011516";"20"
"5715239011523";"18"
"5715239011530";"0"
"5715239011547";"20"
"5715239011561";"20"
"5715239011578";"20"
"5715239011592";"20"
"5715239011615";"13"
"5715239011622";"20"
"5715239011677";"20"
"5715239011714";"20"
"5715239011721";"20"
"5715239011738";"20"
"5715239011790";"20"
"5715239011837";"20"
"5715239011844";"20"
"5715239011851";"20"
"5715239011868";"20"
"5715239011943";"20"
"5715239011967";"20"
"5715239011974";"20"
"5715239011981";"20"
"5715239012063";"20"
"5715239012070";"20"
"5715239012087";"0"
"5715239012094";"6"
"5715239012100";"20"
"5715239018515";"20"
"5715239018522";"20"
"5715239018539";"20"
"5715239018546";"20"
"5715239018553";"0"
"5715239018560";"19"
"5715239018577";"20"
"5715239018584";"20"
"5715239018591";"20"
"5715239018607";"20"
"5715239018614";"2"
"5715239018621";"20"
"5715239018638";"0"
"5715239018645";"0"
"5715239018652";"20"
"5715239018669";"20"
"5715239018676";"20"
"5715239018713";"16"
"5715239018737";"0"
"5715239018782";"20"
"5715239018805";"20"
"5715239018812";"11"
"5715239018867";"20"
"5715239019642";"20"
"5715239019659";"0"
"5715239019666";"20"
"5715239019673";"20"
"5715239019680";"20"
"5715239019697";"20"
"5715239019703";"20"
"5715239019710";"20"
"5715239019734";"6"
"5715239019741";"20"
"5715239019758";"20"
"5715239019765";"20"
"5715239019772";"20"
"5715239019789";"20"
"5715239019819";"20"
"5715239019826";"20"
"5715239019833";"20"
"5715239019840";"20"
"5715239019857";"8"
"5715239019864";"20"
"5715239019871";"20"
"5715239019895";"2"
"5715239019901";"20"
"5715239019918";"20"
"5715239019925";"20"
"5715239019932";"0"
"5715239019949";"20"
"5715239022000";"20"
"5715239022017";"0"
"5715239022024";"20"
"5715239022031";"9"
"5715239022123";"20"
"5715239022130";"20"
"5715239022147";"20"
"5715239022154";"0"
"5715239022161";"20"
"5715239022178";"20"
"5715239022185";"20"
"5715239022192";"20"
"5715239022208";"20"
"5715239022215";"20"
"5715239022222";"20"
"5715239022239";"20"
"5715239022246";"20"
"5715239022253";"0"
"5715239022260";"20"
"5715239022277";"20"
"5715239022284";"20"
"5715239022291";"20"
"5715239022307";"20"
"5715239022314";"20"
"5715239022321";"20"
"5715239022338";"12"
"5715239022345";"20"
"5715239022352";"20"
"5715239022369";"20"
"5715239022376";"20"
"5715239022383";"20"
"5715239022390";"20"
"5715239022406";"20"
"5715239022413";"20"
"5715239022420";"14"
"5715239022444";"20"
"5715239022451";"20"
"5715239022468";"20"
"5715239022475";"20"
"5715239023861";"4"
"5715239023878";"0"
"5715239024059";"15"
"5715239024875";"9"
"5715239025285";"0"
"5715239025292";"20"
"5715239025308";"2"
"5715239025315";"0"
"5715239025643";"20"
"5715239025650";"20"
"5715239025667";"20"
"5715239025674";"20"
"5715239025681";"20"
"5715239025698";"20"
"5715239025704";"20"
"5715239025711";"20"
"5715239025803";"20"
"5715239025810";"20"
"5715239026251";"4"
"5715239026268";"20"
"5715239026275";"14"
"5715239026282";"20"
"5715239026305";"20"
"5715239026329";"20"
"5715239026336";"20"
"5715239026343";"20"
"5715239026350";"0"
"5715239026367";"20"
"5715239026374";"20"
"5715239026381";"20"
"5715239026398";"20"
"5715239026565";"3"
"5715239026572";"20"
"5715239026602";"20"
"5715239026619";"20"
"5715239026640";"2"
"5715239026657";"20"
"5715239026688";"20"
"5715239026695";"20"
"5715239026725";"20"
"5715239026732";"20"
"5715239026763";"1"
"5715239026770";"20"
"5715239026800";"20"
"5715239026817";"20"
"5715239026848";"20"
"5715239026855";"20"
"5715239029559";"0"
"5715239029566";"13"
"5715239029597";"20"
"5715239029603";"20"
"5715239029634";"20"
"5715239029641";"20"
"5715239029672";"20"
"5715239029689";"20"
"5715239029726";"20"
"5715239029818";"0"
"5715239030005";"0"
"5715239030012";"20"
"5715239030043";"4"
"5715239030050";"20"
"5715239030227";"20"
"5715239030234";"20"
"5715239030241";"20"
"5715239030258";"20"
"5715239030265";"20"
"5715239030272";"20"
"5715239030289";"20"
"5715239030296";"20"
"5715239214177";"20"
"5715239214832";"0"
"5715239214856";"20"
"5715239214863";"20"
"5715239215167";"20"
"5715239215181";"20"
"5715239215198";"0"
"5715239215228";"20"
"5715239215259";"0"
"5715239215389";"20"
"5715239224015";"20"
"5715239224831";"20"
"5715239224855";"20"
"5715239224862";"6"
"5715239225166";"20"
"5715239225173";"20"
"5715239225180";"2"
"5715239225234";"5"
"5715239513850";"20"
"5715239514215";"20"
"5715239514956";"6"
"5715239515311";"20"
"5715239515359";"20"
"5715239515366";"8"
"5715239523859";"20"
"5715239524214";"20"
"5715239524955";"20"
"5715239525358";"20"
"5715239525365";"20"
"5715239613857";"19"
"5715239614212";"1"
"5715239615004";"20"
"5715239615011";"20"
"5715239615288";"20"
"5715239615295";"20"
"5715239615301";"20"
"5715239615318";"20"
"5715239623856";"20"
"5715239624211";"5"
"5715239625003";"20"
"5715239625010";"20"
"5715239625287";"20"
"5715239625294";"20"
"5715239625300";"20"
"5715239625324";"20"
"602835182359";"20"
"602835182366";"0"
"602835182410";"13"
"647168300889";"20"
"647168300896";"0"
"647168301138";"0"
"647168301411";"0"
"647168301428";"0"
"647168301442";"20"
"647168301626";"20"
"647168301640";"0"
"647168301732";"0"
"742699778394";"20"
"7426999778301";"20"
"7426999778318";"20"
"7426999778325";"20"
"7426999778332";"20"
"7426999778349";"10"
"7426999778356";"20"
"7426999778370";"20"
"7426999778387";"0"
"7426999778417";"14"
"7426999778424";"0"
"7426999778431";"8"
"7426999778448";"7"
"7426999778486";"20"
"7426999778493";"4"
"7426999778516";"0"
"7426999778523";"0"
"7426999778530";"0"
"7426999779117";"20"
"7426999779124";"0"
"7426999779209";"20"
"7426999779223";"8"
"7426999779230";"0"
"7426999779254";"13"
"7426999779346";"20"
"7426999779384";"0"
"7426999779421";"11"
"7426999779438";"0"
"7426999779445";"3"
"7426999779452";"20"
"7426999779483";"20"
"7426999779490";"20"
"7426999779506";"20"
"7426999779513";"1"
"7426999779520";"0"
"7426999779896";"20"
"7426999780571";"20"
"7426999780588";"20"
"7426999780595";"20"
"7426999780601";"9"
"7426999780618";"20"
"7426999780625";"13"
"7426999780632";"20"
"7426999780649";"20"
"7426999780656";"20"
"7426999780663";"20"
"7426999780670";"20"
"7426999780687";"6"
"762765367582";"0"
"762765367599";"14"
"762765367636";"0"
"762765367827";"0"
"762765367834";"0"
"762765367841";"0"
"762765367858";"2"
"762765368107";"0"
"762765368282";"0"
"762765368350";"0"
"762765368367";"20"
"799787260652";"14"
"799787260829";"0"
"799787260843";"20"
"810052460000";"19"
"810052460017";"20"
"810052460024";"20"
"810052460031";"0"
"810052460048";"20"
"810052460055";"20"
"810052460093";"20"
"810052460123";"20"
"810052460130";"20"
"810052460154";"2"
"810052460161";"20"
"810052460178";"20"
"810052460185";"7"
"810052460192";"0"
"810052460208";"20"
"810052460260";"0"
"810052460277";"0"
"810052460284";"19"
"810052460291";"13"
"810052460307";"5"
"810052460314";"0"
"810052460321";"0"
"810052460338";"6"
"810052460345";"0"
"810052460352";"18"
"810052460369";"20"
"810052460376";"20"
"810052460383";"20"
"810052460420";"20"
"810052460437";"0"
"810052460444";"20"
